,precision,recall,f1-score,support
19,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0
242,0.0,0.0,0.0,0.0
249,0.0,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0
289,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,0.0
322,0.0,0.0,0.0,0.0
346,0.0,0.0,0.0,0.0
396,0.0,0.0,0.0,0.0
401,0.0,0.0,0.0,0.0
415,0.0,0.0,0.0,0.0
426,0.0,0.0,0.0,0.0
432,0.0,0.0,0.0,0.0
461,0.0,0.0,0.0,0.0
498,0.0,0.0,0.0,0.0
504,0.425531914893617,0.2631578947368421,0.3252032520325203,228.0
505,0.0,0.0,0.0,2.0
506,0.0,0.0,0.0,1.0
507,0.0,0.0,0.0,1.0
508,0.0,0.0,0.0,2.0
509,0.0,0.0,0.0,1.0
510,0.0,0.0,0.0,1.0
511,0.0,0.0,0.0,3.0
512,0.0,0.0,0.0,1.0
513,0.0,0.0,0.0,1.0
514,0.0,0.0,0.0,1.0
515,0.0,0.0,0.0,1.0
516,0.0,0.0,0.0,1.0
517,0.0,0.0,0.0,1.0
518,0.0,0.0,0.0,1.0
519,0.0,0.0,0.0,1.0
520,0.0,0.0,0.0,1.0
521,0.0,0.0,0.0,1.0
522,0.0,0.0,0.0,1.0
523,0.0,0.0,0.0,1.0
524,0.0,0.0,0.0,1.0
525,0.0,0.0,0.0,1.0
526,0.0,0.0,0.0,1.0
527,0.0,0.0,0.0,1.0
528,0.0,0.0,0.0,1.0
529,0.0,0.0,0.0,1.0
530,0.0,0.0,0.0,2.0
531,0.0,0.0,0.0,2.0
532,0.0,0.0,0.0,1.0
533,0.0,0.0,0.0,2.0
534,0.0,0.0,0.0,18.0
535,0.0,0.0,0.0,1.0
536,0.0,0.0,0.0,15.0
537,0.0,0.0,0.0,2.0
538,0.0,0.0,0.0,1.0
539,0.0,0.0,0.0,1.0
540,0.0,0.0,0.0,1.0
541,0.0,0.0,0.0,2.0
542,0.0,0.0,0.0,1.0
543,0.0,0.0,0.0,7.0
544,0.0,0.0,0.0,1.0
545,0.0,0.0,0.0,1.0
546,0.0,0.0,0.0,1.0
547,0.0,0.0,0.0,1.0
548,0.0,0.0,0.0,2.0
549,0.0,0.0,0.0,4.0
550,0.0,0.0,0.0,1.0
551,0.0,0.0,0.0,2.0
552,0.0,0.0,0.0,1.0
553,0.0,0.0,0.0,2.0
554,0.0,0.0,0.0,1.0
555,0.0,0.0,0.0,1.0
556,0.0,0.0,0.0,1.0
557,0.0,0.0,0.0,6.0
558,0.0,0.0,0.0,2.0
559,0.0,0.0,0.0,3.0
560,0.0,0.0,0.0,1.0
561,0.0,0.0,0.0,1.0
562,0.0,0.0,0.0,1.0
563,0.0,0.0,0.0,1.0
564,0.0,0.0,0.0,1.0
565,0.0,0.0,0.0,1.0
566,0.0,0.0,0.0,1.0
567,0.0,0.0,0.0,1.0
568,0.0,0.0,0.0,1.0
569,0.0,0.0,0.0,1.0
570,0.0,0.0,0.0,1.0
571,0.0,0.0,0.0,4.0
572,0.0,0.0,0.0,9.0
573,0.0,0.0,0.0,1.0
574,0.0,0.0,0.0,1.0
575,0.0,0.0,0.0,1.0
576,0.0,0.0,0.0,2.0
577,0.0,0.0,0.0,1.0
578,0.0,0.0,0.0,2.0
579,0.0,0.0,0.0,1.0
580,0.0,0.0,0.0,1.0
581,0.0,0.0,0.0,1.0
582,0.0,0.0,0.0,1.0
583,0.0,0.0,0.0,1.0
584,0.0,0.0,0.0,5.0
585,0.0,0.0,0.0,1.0
586,0.0,0.0,0.0,1.0
587,0.0,0.0,0.0,1.0
588,0.0,0.0,0.0,1.0
589,0.0,0.0,0.0,2.0
590,0.0,0.0,0.0,1.0
591,0.0,0.0,0.0,1.0
592,0.0,0.0,0.0,3.0
593,0.0,0.0,0.0,1.0
594,0.0,0.0,0.0,1.0
595,0.0,0.0,0.0,1.0
596,0.0,0.0,0.0,1.0
597,0.0,0.0,0.0,1.0
598,0.0,0.0,0.0,3.0
599,0.0,0.0,0.0,1.0
600,0.0,0.0,0.0,2.0
601,0.0,0.0,0.0,1.0
602,0.0,0.0,0.0,1.0
603,0.0,0.0,0.0,1.0
604,0.0,0.0,0.0,1.0
605,0.0,0.0,0.0,1.0
606,0.0,0.0,0.0,1.0
607,0.0,0.0,0.0,29.0
608,0.0,0.0,0.0,1.0
609,0.0,0.0,0.0,1.0
610,0.0,0.0,0.0,1.0
611,0.0,0.0,0.0,2.0
612,0.0,0.0,0.0,1.0
613,0.0,0.0,0.0,1.0
614,0.0,0.0,0.0,1.0
615,0.0,0.0,0.0,1.0
616,0.0,0.0,0.0,1.0
617,0.0,0.0,0.0,1.0
618,0.0,0.0,0.0,1.0
619,0.0,0.0,0.0,1.0
620,0.0,0.0,0.0,1.0
621,0.0,0.0,0.0,1.0
622,0.0,0.0,0.0,19.0
623,0.0,0.0,0.0,4.0
624,0.0,0.0,0.0,1.0
625,0.0,0.0,0.0,20.0
626,0.0,0.0,0.0,1.0
627,0.0,0.0,0.0,1.0
628,0.0,0.0,0.0,1.0
629,0.0,0.0,0.0,1.0
630,0.0,0.0,0.0,4.0
631,0.0,0.0,0.0,1.0
632,0.0,0.0,0.0,2.0
633,0.0,0.0,0.0,1.0
634,0.0,0.0,0.0,1.0
635,0.0,0.0,0.0,1.0
636,0.0,0.0,0.0,1.0
637,0.0,0.0,0.0,2.0
638,0.0,0.0,0.0,2.0
639,0.0,0.0,0.0,1.0
640,0.0,0.0,0.0,20.0
641,0.0,0.0,0.0,2.0
642,0.0,0.0,0.0,1.0
643,0.0,0.0,0.0,3.0
644,0.0,0.0,0.0,2.0
645,0.0,0.0,0.0,1.0
646,0.0,0.0,0.0,1.0
647,0.0,0.0,0.0,1.0
648,0.0,0.0,0.0,1.0
649,0.0,0.0,0.0,1.0
650,0.0,0.0,0.0,2.0
651,0.0,0.0,0.0,1.0
652,0.0,0.0,0.0,2.0
653,0.0,0.0,0.0,1.0
654,0.0,0.0,0.0,2.0
655,0.0,0.0,0.0,1.0
656,0.0,0.0,0.0,1.0
657,0.0,0.0,0.0,1.0
658,0.0,0.0,0.0,1.0
659,0.0,0.0,0.0,4.0
660,0.0,0.0,0.0,1.0
661,0.0,0.0,0.0,1.0
662,0.0,0.0,0.0,1.0
663,0.0,0.0,0.0,3.0
664,0.0,0.0,0.0,1.0
665,0.0,0.0,0.0,3.0
666,0.0,0.0,0.0,1.0
667,0.0,0.0,0.0,1.0
668,0.0,0.0,0.0,5.0
669,0.0,0.0,0.0,1.0
670,0.0,0.0,0.0,1.0
671,0.0,0.0,0.0,2.0
672,0.0,0.0,0.0,1.0
673,0.0,0.0,0.0,1.0
674,0.0,0.0,0.0,1.0
675,0.0,0.0,0.0,5.0
676,0.0,0.0,0.0,2.0
677,0.0,0.0,0.0,1.0
678,0.0,0.0,0.0,3.0
679,0.0,0.0,0.0,26.0
680,0.0,0.0,0.0,1.0
681,0.0,0.0,0.0,1.0
682,0.0,0.0,0.0,1.0
683,0.0,0.0,0.0,1.0
684,0.0,0.0,0.0,1.0
685,0.0,0.0,0.0,3.0
686,0.0,0.0,0.0,1.0
687,0.0,0.0,0.0,1.0
688,0.0,0.0,0.0,1.0
689,0.0,0.0,0.0,41.0
690,0.0,0.0,0.0,1.0
691,0.0,0.0,0.0,1.0
692,0.0,0.0,0.0,1.0
693,0.0,0.0,0.0,1.0
694,0.0,0.0,0.0,1.0
695,0.0,0.0,0.0,1.0
696,0.0,0.0,0.0,1.0
697,0.0,0.0,0.0,2.0
698,0.0,0.0,0.0,1.0
699,0.0,0.0,0.0,1.0
700,0.0,0.0,0.0,1.0
701,0.0,0.0,0.0,1.0
702,0.0,0.0,0.0,1.0
703,0.0,0.0,0.0,1.0
704,0.0,0.0,0.0,2.0
705,0.0,0.0,0.0,2.0
706,0.0,0.0,0.0,1.0
707,0.0,0.0,0.0,1.0
708,0.0,0.0,0.0,2.0
709,0.0,0.0,0.0,1.0
710,0.0,0.0,0.0,1.0
